name,address,postalcode,city,region,country,email
"Analog Devices","361 Marina Inlet","78827-2565","West Minnieland","Maine","USA","contact@analog.com"
"Conversion Labs","59629 Bartell Stravenue","12916-0204","Connstad","Montana","USA","contact@conversion.com"
"Marsh & McLennan Companies","844 Jacklyn Spurs","26288","Miaview","Connecticut","USA","contact@marsh.com"
"Altria Group","09173 Abshire Village","59214-3134","Gardnertown","North Carolina","USA","contact@altria.com"
"Applied Materials","0986 Shanie View","86947","Port Tillmanfort","Michigan","USA","contact@applied.com"
"PayPal Holdings","6450 Hane Haven","52516-8055","Port Vivienneshire","Minnesota","USA","contact@paypal.com"
"Duke Energy Corporation","227 Elise Walks","57307","Gibsonberg","Nebraska","USA","contact@duke.com"
"The Southern Company","80802 Grant Port","1859","South Ravenshire","Wisconsin","USA","contact@the.com"
"The Progressive Corporationy","557 Antwan Valleys","66010-8890","Yasminemouth","Ohio","USA","contact@the.com"
"Schlumberger Limited","36925 Edgar Course","96214","Mooreland","Utah","USA","contact@schlumberger.com"
"Vertex Pharmaceuticals Incorporatedy","3099 Runolfsdottir Bypass","95453","Gretchenport","Massachusetts","USA","contact@vertex.com"
"Becton","82962 Olin Walks","11551","Koelpinport","Arkansas","USA","contact@becton.com"
"EOG Resources","41512 Garry Creek","79031","Moenmouth","Alabama","USA","contact@eog.com"
"Illinois Tool Works Inc.dustrial Machinery","938 Turcotte Vista","24223-5383","New Lloydburgh","Alabama","USA","contact@illinois.com"
"HCA Healthcare","0556 Goyette Meadows","24954","North Vincehaven","Maryland","USA","contact@hca.com"
"Target Corporation","586 Kellen Gateway","4466","South Zoilaside","Delaware","USA","contact@target.com"
"Air Products and Chemicals","56784 Bertram Mills","59332-2664","Laurieside","New Hampshire","USA","contact@air.com"
"Moderna","59542 Anibal Creek","68240-8530","West Chelseamouth","Oklahoma","USA","contact@moderna.com"
"Zoetis Inc.","296 Vandervort Squares","7633","South Mckennaton","South Carolina","USA","contact@zoetis.com"
"General Dynamics Corporation","95746 Holly Pass","36385-0980","Saulmouth","Louisiana","USA","contact@general.com"
"Boston Scientific Corporation","371 Vernice Centers","22293-7143","Harbershire","Rhode Island","USA","contact@boston.com"
"CSX Corporation","6116 Isidro Village","42446-4040","East Miguelview","Utah","USA","contact@csx.com"
"Waste Management","7150 Kshlerin Parks","60498-7786","Wilkinsonfurt","Texas","USA","contact@waste.com"
"Fiserv","262 McLaughlin Stream","83462","East Heidi","Vermont","USA","contact@fiserv.com"
"Humana Inc.","513 Blaze Junctions","59050","Mercedesberg","Rhode Island","USA","contact@humana.com"
"BlackRock Municipal Bond Trust","6867 Kovacek Squares","49149","Hollisbury","Mississippi","USA","contact@blackrock.com"
"The Sherwin-Williams Company","42599 Jaskolski Knoll","95008","West Rupert","Vermont","USA","contact@the.com"
"Equinix","11058 Ivy Burgs","97270-6863","West Beaulahmouth","Kentucky","USA","contact@equinix.com"
"CME Group Inc.","60929 Boyer Stream","90178","New Joanny","Missouri","USA","contact@cme.com"
"Nesco Holdings","543 Barton Pass","63221","Port Annamaestad","Maine","USA","contact@nesco.com"
"Lam Research Corporation","9335 Runolfsson Radial","53039","New Ellen","New York","USA","contact@lam.com"
"Intercontinental Exchange","4354 Cummerata Meadows","95019","South Gianni","Connecticut","USA","contact@intercontinental.com"
"Norfolk Southern Corporations","1042 McKenzie Plains","50241","West Vita","Texas","USA","contact@norfolk.com"
"Occidental Petroleum Corporation&P","94905 Tillman Villages","58980","East Damon","Louisiana","USA","contact@occidental.com"
"Emerson Electric Co.","46430 Schowalter Shoals","24640","West Laurianne","New Mexico","USA","contact@emerson.com"
"Micron Technology","561 Haylee Falls","60461-6450","Candaceton","Maryland","USA","contact@micron.com"
"Monster Beverage Corporation","83334 Goldner Gateway","19391-0038","Nonashire","Oklahoma","USA","contact@monster.com"
"O'Reilly Automotive","38093 Price Drive","32037","West Lavernestad","Connecticut","USA","contact@o'reilly.com"
"Charter Communications","522 Layne Throughway","55741","East Vernonton","Georgia","USA","contact@charter.com"
"Enterprise Products Partners L.P.","6881 Wiza Hills","65461","Danielborough","Texas","USA","contact@enterprise.com"
"Dominion Energy","53079 Adriana Stravenue","39109","New Chaim","Delaware","USA","contact@dominion.com"
"KKR & Co. Inc.","1513 Declan Shoal","46456-4903","South Abelardo","Virginia","USA","contact@kkr.com"
"Marathon Petroleum Corporation","150 Goldner Stravenue","42577-4322","North Arvillaland","California","USA","contact@marathon.com"
"Moodys Corporation","51406 Hand Plains","40656-7982","West Anthony","South Carolina","USA","contact@moody's.com"
"Keurig Dr Pepper Inc.","791 Jimmy Ways","54591","East Antonettetown","Alabama","USA","contact@keurig.com"
"Sainsburys","10190 Dibbert Turnpike","53036-8249","Lake Sandraborough","Wisconsin","USA","sales@sainsbury's.com"
"Lululemon Athletica Inc.","495 Bode Mountain","H8J 6J1","New Arvilla","Nova Scotia","Canada","sales@lululemon.com"
"Nutrien Ltd.","14963 Gleichner Via","L6Y 3R9","North Ahmad","Newfoundland and Labrador","Canada","sales@nutrien.com"
"Loblaw Companies Limited","430 Adolph Prairie","V9C 9Z8","Kingchester","New Brunswick","Canada","sales@loblaw.com"
"Franco-Nevada Corporation","894 Tad Via","B2O 6V2","Muraziktown","New Brunswick","Canada","sales@franco-nevada.com"
"Teck Resources Limited","6317 Russel Creek","N4N 3O6","West Hayleestad","Ontario","Canada","sales@teck.com"
"WSP Global Inc.","5494 Flo Courts","A7H 7F3","North Leann","Manitoba","Canada","sales@wsp.com"
"Sprott Physical Gold Trust","5561 Cruickshank Heights","N2Q 7H4","Port Revatown","New Brunswick","Canada","sales@sprott.com"
"Goodman Group","843 Amiya Drive","M6J 3I7","East Laurianneberg","Nunavut","Canada","sales@goodman.com"
"Algonquin Power and Utilities Corp.","70393 German Junctions","G6H 2Y1","Farrellview","New Brunswick","Canada","sales@algonquin.com"
"Origin Energy","2211 Rahsaan Bypass","T6N 8R3","Nelleport","New Brunswick","Canada","sales@origin.com"
"AGL Energy","506 Huel Island","4228","Ivyville","Victoria","Australia","sales@agl.com"
"Amcor","0396 Mckenzie Station St","8929","Ferryhaven","New South Wales","Australia","sales@amcor.com"
"Kinaxis Inc.","16 Abigail Street","4740","North Lucy","Western Australia","Australia","sales@kinaxis.com"
"Qantas","7853 Alana Parade","1438","Jenkinston","South Australia","Australia","sales@qantas.com"
"Transurban","46 Phoenix Island","7644","Bergemouth","Victoria","Australia","sales@transurban.com"
"Caltex Australia","07 Lakin Court","9709","Jacobiborough","Northern Territory","Australia","sales@caltex.com"
"Santos","135 Zara Circuit","5522","Elizabethberg","South Australia","Australia","sales@santos.com"
"Brambles","8158 Emily Place","2773","Oscarborough","Tasmania","Australia","sales@brambles.com"
"Dexus","94717 Swift Mission","5366","Lake Gerhard","Minnesota","South Africa","sales@dexus.com"
"Rio Tinto","478 Sister Knoll","3889","West Mosestown","Tennessee","South Africa","sales@rio.com"
"Anglo American","08541 Luettgen Greens","62808","West Steve","California","South Africa","sales@anglo.com"
"GPT Group","618 Rowe Motorway","1885","Carlottaburgh","Ohio","South Africa","sales@gpt.com"
"Lendlease","Brulunden 5","373","Malhelle","-","Norway","sales@lendlease.com"
"Ramsay Health Care","Hestemyrstranda 41","1353","Vestsjøen","-","Norway","sales@ramsay.com"
"BlueScope","Daansteeg 67","8748 UY","Blauw","Limburg","Netherlands","sales@bluescope.com"
"Koninklijke Ahold Delhaize N.V.","Ambergracht 214","8057 WK","Veneweer","Drenthe","Netherlands","sales@koninklijke.com"
"Akzo Nobel N.V.","Anneplantsoen 308b","6215 TJ","Middelijk","Drenthe","Netherlands","sales@akzo.com"
"Essity AB","Anderssons Gata 167","2184","Kristhamn","Jönköping","Sweden","sales@essity.com"
"Investment AB Latour","Idrottsgränden 02","89056","Österborg","Dalarna","Sweden","sales@investment.com"
"Beijer Ref AB","Aprils Gata 02","58734","Haborg","Dalarna","Sweden","sales@beijer.com"
"Lifco AB","Stationsallén 5","75461","Arhult","Västerbotten","Sweden","sales@lifco.com"
"GrandVision N.V.","Ängsgatan 9","95446","Kristfors","Älvsborg","Sweden","salesgv@gmail.com"
"Castellum AB","Svenssons Väg 338","29346","Enås","Blekinge","Sweden","sales@castellum.com"
"Aalberts N.V.","Övre Åkerallén 89","46493","Södersta","Jönköping","Sweden","sales@aalberts.com"
"Intertrust N.V.","Undre Furuvägen 637","74849","Helsingland","Kronoberg","Sweden","sales@intertrust.com"
"Etn. Fr. Colruyt","Decosterpark 605b","8037","Desteldonkzele","West-Vlaanderen","Belgium","sales@etn..com"
"Cofinimmo SA","Verstraetepark 628","3684","Neerlandenzele","Vlaams-Brabant","Belgium","contact@cofinimmo.com"
"Tessenderlo Group NV","Thijsdreef 03","4914","Handzame","West-Vlaanderen","Belgium","contact@tessenderlo.com"
"Galapagos NV","Kegelprielstraße 3","1903","Eisenstadt","Wien","Austria","contact@galapagos.com"
"Barco NV","Schaunbergerstraße 0","9789","Ellmau","Salzburg","Austria","contact@barco.com"
"Wendel","Franz-von-Assisi-Straße 18b","4950","Wien","Steiermark","Austria","contact@wendel.com"
"Bureau Veritas SA","6278 Boulevard de Solférino","42349","Le Mans","Alsace","France","contact@bureau.com"
"Rémy Cointreau SA","28 Allée Oberkampf","86190","Rennes","Aquitaine","France","contact@rémy.com"
"JCDecaux SA","1103 Allée dAbbeville","32349","Saint-Maur-des-Fossés","Poitou-Charentes","France","contact@jcdecaux.com"
"NuCana plc","55 Nith Street","PH34 9WA","Glendessary","Norfolk","UK","contact@nucana.com"
"Afentra PLC","90 Russell Rd","IP25 2TE","Shipdham","East Riding of Yorkshire","UK","contact@afentra.com"
"Wentworth Resources plc","22 Hotham Hall Harrybeck Lane","YO43 4UA","London","Greater London","UK","contact@wentworth.com"
